gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000001102,1,1729180524519609300,0.101376,0.1024,0.703232,244.556032,624.501248,647.717376,1268.825088,1290.862336
0000001088,1,1729180524525785600,0.031744,0.032512,0.496896,3820.787712,13445.99296,13467.11424,18468.01024,18490.257408
0000001103,1,1729180524619851300,0.053248,0.054272,0.647168,211.717632,845.133056,866.473984,1556.52992,1579.588864
0000001089,1,1729180524626072600,0.036096,0.03712,0.446208,3773.262592,13448.796928,13470.272768,18473.902336,18496.20224
0000001104,1,1729180524720037600,0.039424,0.040704,0.604416,147.079936,829.14944,850.446592,1662.830592,1685.44
0000001090,1,1729180524726354700,0.035072,0.036096,0.45312,3727.84768,13578.427904,13599.626752,18534.83776,18557.871104
0000001105,1,1729180524820230400,0.046336,0.047616,2.766592,197.974528,1086.175232,1107.419392,2007.759616,2030.001408
0000001091,1,1729180524826633500,0.037632,0.038656,0.45568,3832.229888,13704.496128,13726.064128,18581.6512,18605.025024
0000001106,1,1729180524920513800,0.038656,0.03968,2.461184,259.404288,1578.283264,1599.411968,2498.567424,2521.504768
0000001092,1,1729180524926896400,0.038656,0.039936,0.616704,3768.37888,13669.959936,13691.22688,18628.708352,18652.616448
0000001107,1,1729180525020494800,0.024576,0.025088,2.2336,373.181696,1843.55712,1864.950016,2917.185792,2939.906816
0000001093,1,1729180525027063600,0.031744,0.032768,0.471552,3815.478528,13657.024,13678.269184,18666.350592,18689.292288
0000001108,1,1729180525120866000,0.048896,0.049664,0.475392,468.923392,2026.02112,2047.33952,3198.387712,3220.57344
0000001094,1,1729180525127324200,0.037632,0.038656,0.534016,3838.902784,13938.340096,13959.660288,18752.569344,18774.322432
0000001109,1,1729180525220948700,0.048896,0.04992,0.541952,569.991936,2287.179008,2309.022464,3697.010688,3719.402752
0000001095,1,1729180525227490300,0.030208,0.031488,0.589568,3915.371776,13907.121664,13928.430592,18791.985664,18814.271744
0000001110,1,1729180525321176600,0.035072,0.036608,0.504832,508.23552,2247.18976,2268.346624,3740.858368,3763.480832
0000001096,1,1729180525327770000,0.036864,0.038144,0.415232,3864.161792,13902.002432,13923.321344,18829.90464,18852.889088
0000001111,1,1729180525421433000,0.038912,0.03968,0.465408,561.94688,2335.826176,2358.931712,3977.062912,3999.813632
0000001097,1,1729180525427906800,0.044032,0.045056,0.608256,3968.134656,14171.547136,14193.020928,18937.771008,18960.509696
0000001112,1,1729180525521704000,0.085504,0.086784,0.503808,669.534208,2506.087424,2527.43168,4340.281856,4363.115776
0000001098,1,1729180525528195800,0.03968,0.040704,0.810752,3906.842112,14152.67456,14173.963008,18963.335424,18986.44736
0000001113,1,1729180525621923800,0.045824,0.047104,1.060864,767.782144,2723.378432,2744.52352,4803.173376,4825.94944
0000001099,1,1729180525628220200,0.036864,0.037888,0.437504,3971.322368,14146.8544,14168.192512,19000.270336,19023.227904
0000001114,1,1729180525722186000,0.048128,0.048896,0.510464,707.374848,2767.791104,2789.051136,4885.426688,4909.288448
0000001115,1,1729180525822421800,0.045824,0.050432,0.595456,755.436032,2881.87392,2903.123712,5123.37024,5146.233088
0000001116,1,1729180525922691800,0.067328,0.068608,0.463872,706.967808,3193.751296,3214.996224,5578.592256,5600.968448
0000001117,1,1729180526022794000,0.044288,0.045312,0.462592,891.344128,3457.831168,3479.120896,5902.36928,5925.25824
0000001118,1,1729180526123050000,0.043776,0.044544,0.569856,831.750656,3514.15936,3535.327744,6129.3632,6155.442688
0000001119,1,1729180526223290600,0.067584,0.068608,0.636672,810.65472,3695.887872,3717.24544,6466.111744,6489.094912
0000001120,1,1729180526323537000,0.041472,0.045824,0.525312,746.671872,3672.787456,3694.322944,6499.632896,6522.79424
0000001121,1,1729180526423826200,0.03584,0.036864,0.496896,795.841536,3817.54752,3838.799616,6824.523008,6847.28576
0000001122,1,1729180526523942700,0.0448,0.045824,0.445696,912.242176,4176.06016,4197.380864,7343.36,7366.238208
0000001123,1,1729180526624193000,0.046592,0.047872,0.483072,967.364608,4597.377792,4618.197504,7843.44704,7866.750976
0000001124,1,1729180526724464400,0.102656,0.10368,0.59136,913.124864,4778.110208,4799.23584,8067.878656,8090.307328
0000001125,1,1729180526825107500,0.043008,0.044032,0.48512,848.887552,4752.948224,4774.218752,8213.79072,8236.43264
0000001126,1,1729180526925362400,0.057088,0.058112,0.596736,1020.915968,5107.540736,5128.873728,8768.640256,8791.40352
0000001127,1,1729180527025613600,0.040704,0.041984,0.468992,1049.883392,5377.058816,5398.234624,9056.46336,9080.420864
0000001128,1,1729180527125943300,0.058112,0.063488,0.556544,1013.98016,5842.034432,5863.418112,9581.085184,9603.06176
0000001129,1,1729180527226073900,0.042752,0.04352,0.4928,1173.292288,6080.32384,6101.55392,9893.827328,9916.974848
0000001130,1,1729180527326371800,0.036096,0.036864,0.474624,1200.162048,6190.393088,6211.804928,10175.171328,10198.00576
0000001131,1,1729180527426635800,0.05248,0.05376,0.589312,1158.074112,6206.050048,6227.458048,10324.808704,10347.535616
0000001132,1,1729180527526904000,0.047872,0.048896,0.446976,1214.070016,6566.106112,6587.750656,10796.16384,10818.916864
0000001133,1,1729180527627013000,0.042752,0.04352,0.55552,1523.692544,6924.2816,6945.500672,11199.77728,11222.78144
0000001134,1,1729180527727265000,0.036608,0.037888,0.612352,1483.258112,7128.290304,7149.771008,11309.697536,11333.048064
0000001135,1,1729180527827524400,0.04608,0.047104,0.649984,1562.090496,7343.017728,7364.386048,11577.847296,11600.539648
0000001136,1,1729180527927803100,0.041216,0.04224,0.619008,1592.406016,7420.871168,7442.215936,11735.883264,11759.2512
0000001137,1,1729180528027996700,0.061952,0.062976,0.68736,1646.401792,7734.48832,7756.022784,11994.82624,12017.634048
0000001138,1,1729180528128196600,0.056832,0.057856,0.576768,1912.581632,8252.98304,8274.300928,12498.711552,12521.364736
0000001139,1,1729180528228379400,0.040704,0.041728,0.592128,1865.852928,8295.887104,8317.102592,12565.444608,12587.283456
0000001140,1,1729180528328536600,0.041472,0.042752,0.47488,1826.571776,8440.916736,8461.953536,12702.129152,12724.75904
0000001141,1,1729180528428802800,0.03712,0.038144,0.506624,1997.298688,8756.475392,8777.868288,12961.899264,12984.905472
0000001142,1,1729180528528924000,0.03712,0.04352,0.460032,2085.518848,9001.757184,9023.002624,13209.51936,13232.355072
0000001143,1,1729180528629173200,0.03712,0.038144,0.445184,2130.454016,9268.285952,9289.905408,13577.23648,13600.084224
0000001144,1,1729180528729415200,0.040192,0.041728,0.554496,2208.06656,9301.782016,9323.063296,13709.914112,13732.802048
0000001145,1,1729180528829366800,0.071168,0.072448,0.471808,2196.711936,9310.517504,9331.77344,13769.288704,13791.891456
0000001146,1,1729180528929573600,0.039424,0.040448,0.445952,2179.126784,9470.138112,9491.629824,14003.912192,14026.486528
0000001147,1,1729180529029917000,0.037888,0.039168,0.493824,2115.486208,9453.916928,9475.055616,14031.700992,14054.446848
0000001148,1,1729180529130071800,0.039424,0.040192,0.573952,2152.23296,9465.625344,9487.089408,14144.369152,14167.355648
0000001149,1,1729180529230284500,0.036096,0.039936,0.487168,2398.785024,9868.189696,9890.415872,14540.269824,14563.317248
0000001150,1,1729180529330507300,0.03968,0.040704,0.432896,2335.533056,9870.142464,9891.4432,14698.333184,14720.973568
0000001151,1,1729180529430798800,0.037632,0.0384,0.4864,2309.715456,10020.47744,10041.716224,14926.340864,14948.963584
0000001152,1,1729180529530936800,0.036864,0.037888,0.553216,2400.278784,10174.184448,10195.24864,15053.1072,15075.81056
0000001153,1,1729180529631196000,0.041984,0.043264,0.618752,2435.306752,10170.138624,10191.240192,15229.462016,15252.152064
0000001154,1,1729180529731411500,0.040704,0.041984,0.507392,2530.116352,10364.146176,10385.23264,15352.03584,15374.831616
0000001155,1,1729180529831497700,0.044032,0.045056,0.57216,2475.771392,10341.980672,10363.186432,15478.32448,15501.043968
0000001156,1,1729180529931610400,0.017152,0.017664,0.53376,2537.395968,10367.031808,10388.335104,15677.518336,15701.34528
0000001157,1,1729180530031909000,0.039168,0.040192,0.553472,2783.253504,10386.24,10407.233536,15879.351296,15902.253824
0000001158,1,1729180530132139800,0.035584,0.036352,0.51072,2870.016256,10689.691904,10710.994432,16199.414272,16225.278976
0000001159,1,1729180530232398000,0.038656,0.039936,0.48896,2825.23136,10832.493824,10853.734144,16409.03168,16431.863296
0000001160,1,1729180530332653600,0.041472,0.042752,0.52864,2900.754688,10837.341952,10858.6496,16524.934656,16547.7312
0000001161,1,1729180530432877600,0.033792,0.034816,0.518912,2945.949184,10993.511168,11014.369024,16660.073728,16682.824704
0000001162,1,1729180530533126700,0.043776,0.045312,0.45184,2886.740992,10989.689856,11010.872064,16789.72288,16812.709632
0000001163,1,1729180530633290000,0.031488,0.032512,0.519424,3040.717568,11168.851968,11190.095104,16968.510976,16991.273728
0000001164,1,1729180530733542100,0.032768,0.034048,0.422656,3123.06944,11203.557888,11224.735488,17174.610944,17197.508096
0000001165,1,1729180530833828600,0.040704,0.041472,0.43264,3074.62144,11177.625344,11198.94528,17217.413376,17240.39168
0000001166,1,1729180530933894700,0.031488,0.033024,0.443904,3014.786816,11316.670464,11337.93664,17341.119488,17364.008704
0000001167,1,1729180531034574600,0.045056,0.046592,0.697856,3112.128512,11640.378624,11661.619456,17568.699136,17597.590016
0000001168,1,1729180531134879500,0.043776,0.0448,0.486144,3073.341184,11617.982208,11639.089408,17626.598656,17649.667072
0000001169,1,1729180531234864600,0.022016,0.022272,0.547328,3027.341312,11851.085056,11871.756544,17796.630016,17819.097856
0000001170,1,1729180531335184100,0.039424,0.040448,0.611584,3137.877504,11960.969984,11982.280704,17848.945152,17871.717632
0000001171,1,1729180531435349200,0.038656,0.039936,0.619008,3156.432896,11971.993088,11993.195008,17902.875136,17925.474304
0000001172,1,1729180531535621000,0.054784,0.056064,0.56832,3249.838336,12001.00864,12022.350848,17943.643648,17966.756352
0000001173,1,1729180531635866000,0.035584,0.03712,0.448512,3407.713024,12204.36608,12225.084928,18002.525952,18025.249792
0000001174,1,1729180531736109300,0.08576,0.086784,0.54912,3472.93312,12331.867392,12353.134848,18059.960064,18083.262976
0000001175,1,1729180531836324900,0.054528,0.055808,0.635648,3429.46176,12326.765056,12348.240896,18106.429184,18129.16352
0000001176,1,1729180531936781800,0.064768,0.065536,0.531456,3488.019712,12471.252224,12492.580864,18175.602688,18198.276352
0000001177,1,1729180532036978700,0.041728,0.042752,0.834048,3430.2272,12575.819776,12597.166592,18225.785856,18248.497152
0000001178,1,1729180532137149000,0.047872,0.048896,0.50816,3540.978688,12552.994816,12574.689024,18284.644608,18307.35232
0000001179,1,1729180532237379300,0.038144,0.038912,0.551168,3560.087296,12660.770048,12682.10432,18332.712448,18355.551232
0000001180,1,1729180532337586200,0.042752,0.04352,0.402944,3544.37632,12780.59392,12801.849856,18396.526336,18419.873536
